lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,tenurec_owned_outright,tenurtc_social_rented,good_health,bad_health
E01001789,Hackney 015C,9.7,15.5,16.7,53,26.4,15.9,34.1,82.7,6.2
E01001791,Hackney 015D,14.6,14.2,23.8,37.1,34.8,12.4,48.2,80.6,6.9
E01001745,Hackney 016A,11.4,13.2,17.3,44.2,34.7,3.7,54.7,82.7,6.5
E01001746,Hackney 016B,15.6,8.7,28.8,33.6,38.9,1.6,80.4,82.7,4.4
E01001757,Hackney 016C,13.5,11.3,26.5,23.4,45.4,4.4,71.1,83.9,5.4
E01001758,Hackney 016D,11.9,12.7,18,39,33.5,4.5,54.9,81.2,7.2
E01001759,Hackney 016E,11.5,16,14.4,49.3,29.1,7.1,49.2,81.2,6.8
E01001761,Hackney 016F,10.1,15.5,14.8,51.3,27.8,3.3,60.5,76.3,9.1
E01001731,Hackney 017A,11.9,12.9,14.8,47.1,30,4.9,52.6,84.7,5
E01001734,Hackney 017B,11.3,16.6,13.4,55.2,25.4,7.9,30.3,82.4,6
E01001760,Hackney 017C,11.6,18.3,15.7,49.5,26.8,5.9,41.4,80.9,6.5
E01001762,Hackney 017D,8.1,16,10.6,64.1,17.1,8,31.2,82.8,5.6
E01001846,Hackney 018A,13.6,14.6,21.7,42.8,38.6,5.6,60,75,8.8
E01001847,Hackney 018B,13.2,15.8,19.5,48.6,28.8,9.9,46.3,76.4,8.9
E01001848,Hackney 018C,10.3,15,15.7,55,31.4,9,47.3,79.3,6.7
E01001849,Hackney 018D,11,15.4,17.8,47.6,29.1,4.7,34.4,84,4.5
E01001729,Hackney 019A,15.6,9.2,21.7,33.5,42.6,1.9,64.5,81.3,6.9
E01001730,Hackney 019B,16.9,12,21.1,36.6,34.9,3,71.8,78.2,7.7
E01001732,Hackney 019C,18.2,12.5,26.3,34.8,41.6,2.7,70,79.8,7.3
E01001735,Hackney 019D,8.5,18.9,16.6,56.7,26.5,11.8,44.2,81.4,6.8
E01001838,Hackney 019E,22.6,8.7,26.1,32.3,39.7,3.5,79.6,77.1,8
E01001850,Hackney 019F,18.2,10.9,29.4,30.1,47.2,4.1,74.4,80.2,7.5
E01001748,Hackney 020A,8.4,18.6,11.7,60.1,19.4,8.5,33.9,85.2,5.6
E01001749,Hackney 020B,6,21.7,11,70.5,15.8,14.4,29.6,87.2,4.5
E01001763,Hackney 020C,12.6,18.5,14.8,56.3,27.2,8.6,48.5,81.9,7.2
E01001816,Hackney 020D,9.5,19.5,15.5,62.5,22.8,15.6,38.8,83.3,4.8
E01001819,Hackney 020E,7.9,21.8,12.6,68,16,13.5,46.8,80.3,7.7
E01001744,Hackney 021B,6.2,19.1,14.2,57.4,26.6,9.8,46.6,79.9,6.4
E01001750,Hackney 021C,6,20.1,13.7,59.7,17.8,8.6,40.7,84.1,6.3
E01001751,Hackney 021D,3.6,31.7,5.3,83.6,4.7,22.3,10.7,90.5,2.5
E01001756,Hackney 021E,6.4,22.3,7.7,74.8,9.7,13.1,21.8,87.6,4.4
E01033698,Hackney 021F,9.7,11.4,17,45.5,27.7,2.4,67.9,72.6,11.8
E01033699,Hackney 021G,10.1,20,7,57,17.5,6.8,22.2,87.2,4.2
E01033700,Hackney 021H,8.5,21.2,7.5,61,15.3,6.3,22,86.5,4.9
E01033707,Hackney 021I,7.2,18.2,10.1,54,22.6,3.4,40.6,82,6.3
E01001836,Hackney 022A,9.4,18.8,16,63.1,21.4,6.1,51.3,83,5.7
E01001840,Hackney 022B,11.3,12.3,19.7,45.3,32.9,4.8,66.9,76.8,8.8
E01001841,Hackney 022C,9.7,18.4,12.6,73.4,15.2,13.4,48.6,76.7,8.3
E01001844,Hackney 022D,7.4,19,11.1,64.6,16.5,11.5,42.7,87.9,4
E01001845,Hackney 022E,14.2,11.9,23.2,47.1,34.8,2.9,80.7,73.2,10.9
E01001837,Hackney 023B,5.4,29.2,8,76.3,8.1,13.4,28.7,86.6,3.8
E01001839,Hackney 023C,8.4,16.6,14.3,60.9,17.6,4.6,33.5,88,3.7
E01001842,Hackney 023D,11.3,13.5,23.6,42.8,32.2,4.6,64.2,81,6.7
E01001843,Hackney 023E,10.5,16.3,21.1,55,24.8,10.6,50.6,81.8,7.2
E01033704,Hackney 023F,4.6,22.5,8.4,68.7,12.9,3.5,20.6,91.3,2.2
E01033712,Hackney 023G,9.7,18.2,16.6,60.3,20.3,6.4,42.7,85.9,4.4
E01001772,Hackney 024A,15.3,14.2,20,36,38.8,3.5,76.9,75.4,10.4
E01001774,Hackney 024B,8.5,18.6,15.8,56.8,21.7,4.7,41.8,86.2,4.3
E01001775,Hackney 024C,13,13.2,17.1,42.4,27.8,3.7,65.2,79.7,8
E01001815,Hackney 024D,13.7,12.6,17.5,43.8,33,6.2,64.5,77.2,8.9
E01001820,Hackney 024E,12.6,14,22.2,45.9,36,8.2,63.8,76.5,9.2
